,x_i,n,sum1,sum2
76,5.200000000000000,86.000000000000000,1.000002100863066,1.000001907348633
77,5.400000000000000,92.000000000000000,0.999989678376056,0.999946594238281
78,5.600000000000001,98.000000000000000,1.000185462009073,1.0
79,5.800000000000001,100.000000000000000,1.000447620323274,0.99560546875
80,6.000000000000001,100.000000000000000,1.003713824564592,1.05078125
81,6.200000000000001,100.000000000000000,1.039972605349333,1.625
82,6.400000000000001,100.000000000000000,-46.33116525815032,-25.0
83,6.600000000000001,100.000000000000000,-22516.70252148318,-22584.0
84,6.800000000000002,100.000000000000000,-8928340.394088682,-8929920.0
85,7.000000000000002,100.000000000000000,-2972643660.584238,-2972643328.0
86,7.200000000000002,100.000000000000000,-839733528472.251,-839733690368.0
87,7.400000000000002,100.000000000000000,-203087593356801.62,-203087588884480.0
